Gene,Num_Protected_Comorbidities,Protected_Comorbidities,Median_RR,Max_CI_Upper
ENSG00000112655.15,3,"Atrioventricular Septal Defect, Sleep Apnea Syndrome, Ventricular Septal Defect",0.4032809295967191,0.9781833212377626
ENSG00000253313.5,3,"Astigmatism, Patent Ductus Arteriosus, Strabismus",0.4141824751580849,0.9571506609152295
ENSG00000101440.9,3,"Atrial Septal Defect, Congenital Heart Disease, Patent Foramen Ovale",0.5104754230459307,0.9352768544041475
ENSG00000165617.14,3,"Patent Foramen Ovale, Reactive Airway Disease, Strabismus",0.39252336448598135,0.9392137765146127
ENSG00000204060.7,3,"Hidradenitis Suppurativa, Obstructive Sleep Apnea Syndrome, Seborrheic Dermatitis",0.33632862644415923,0.9059209210217989
ENSG00000226791.6,3,"Astigmatism, Obstructive Sleep Apnea Syndrome, Seborrheic Dermatitis",0.3768303186907838,0.9464591647136661
ENSG00000263988.2,3,"Celiac Disease, Obstructive Sleep Apnea Syndrome, Patent Ductus Arteriosus",0.344,0.9511606928576812
ENSG00000101811.13,3,"Hashimoto Thyroiditis, Celiac Disease, Conductive Hearing Loss Disorder",0.3746130030959752,0.9429437268775127
ENSG00000262714.1,3,"Atrioventricular Septal Defect, Hearing Loss Disorder, Scoliosis",0.4065934065934066,0.9638004474783962
ENSG00000162620.15,3,"Hashimoto Thyroiditis, Atrioventricular Septal Defect, Scoliosis",0.3466666666666667,0.8941858455496278
ENSG00000101190.12,3,"Alopecia Areata, Atrial Septal Defect, Otitis Media, Susceptibility To",0.5012028869286287,0.9877541961639379
ENSG00000225614.2,3,"Hearing Loss Disorder, Patent Ductus Arteriosus, Patent Foramen Ovale",0.5491898148148148,0.9999808977458552
ENSG00000266153.1,3,"Atrioventricular Septal Defect, Celiac Disease, Ventricular Septal Defect",0.48054919908466814,0.9970637730048617
ENSG00000227868.5,3,"Conductive Hearing Loss Disorder, Reactive Airway Disease, Strabismus",0.38153846153846155,0.9887079316565909
ENSG00000267128.1,3,"Hearing Loss Disorder, Pneumonia, Pulmonary Hypertension",0.26612903225806456,0.8834547703902991
ENSG00000131370.15,3,"Atrioventricular Septal Defect, Reactive Airway Disease, Ventricular Septal Defect",0.4677533664068037,0.9815468097821437
ENSG00000105556.11,3,"Hashimoto Thyroiditis, Celiac Disease, Conductive Hearing Loss Disorder",0.4202898550724638,0.95785916132449
ENSG00000160710.15,3,"Astigmatism, Obstructive Sleep Apnea Syndrome, Seborrheic Dermatitis",0.46222222222222226,0.9884352131741959
ENSG00000228224.3,3,"Alopecia Areata, Celiac Disease, Ventricular Septal Defect",0.384180790960452,0.9931323779319011
ENSG00000140807.6,3,"Alopecia Areata, Pneumonia, Psoriasis",0.3447242206235012,0.9499006849705267
ENSG00000131778.18,3,"Atrioventricular Septal Defect, Folliculitis, Hidradenitis Suppurativa",0.2291575731121781,0.9530057349693815
ENSG00000270001.1,3,"Obstructive Sleep Apnea Syndrome, Otitis Media, Susceptibility To, Reactive Airway Disease",0.33723196881091616,0.9900033541216289
ENSG00000270011.6,3,"Hearing Loss Disorder, Obstructive Sleep Apnea Syndrome, Patent Foramen Ovale",0.6277056277056278,0.9785768162283089
ENSG00000160185.14,3,"Astigmatism, Hidradenitis Suppurativa, Otitis Media, Susceptibility To",0.41670329670329675,0.9209147002772093
ENSG00000270066.3,3,"Atrial Septal Defect, Atrioventricular Septal Defect, Ventricular Septal Defect",0.6120823620823621,0.9834719187333719
ENSG00000228794.8,3,"Hidradenitis Suppurativa, Scoliosis, Seborrheic Dermatitis",0.3092783505154639,0.9781416227956934
ENSG00000126945.8,3,"Atrioventricular Septal Defect, Scoliosis, Ventricular Septal Defect",0.3186335403726708,0.998046933391461
ENSG00000259097.1,3,"Astigmatism, Otitis Media, Susceptibility To, Patent Foramen Ovale",0.4084417645192003,0.897383252793136
ENSG00000259030.6,3,"Obstructive Sleep Apnea Syndrome, Pulmonary Hypertension, Reactive Airway Disease",0.27176470588235296,0.9336008917182111
ENSG00000089012.14,3,"Atrial Septal Defect, Atrioventricular Septal Defect, Ventricular Septal Defect",0.6197390572390572,0.989185551765495
ENSG00000165349.11,3,"Atrioventricular Septal Defect, Folliculitis, Ventricular Septal Defect",0.45729356867518767,0.9646325754616396
ENSG00000132704.15,3,"Folliculitis, Psoriasis, Seborrheic Dermatitis",0.24423337856173677,0.9627464103028123
ENSG00000186369.10,3,"Hidradenitis Suppurativa, Psoriasis, Seborrheic Dermatitis",0.28145454545454546,0.9850287877821733
ENSG00000272529.1,3,"Eustachian Tube Disorder, Otitis Media, Susceptibility To, Patent Foramen Ovale",0.34428442844284435,0.9882699742095306
ENSG00000197093.10,3,"Hidradenitis Suppurativa, Otitis Media, Susceptibility To, Patent Foramen Ovale",0.46381578947368424,0.9747836472095499
ENSG00000110911.14,3,"Eustachian Tube Disorder, Obstructive Sleep Apnea Syndrome, Patent Ductus Arteriosus",0.4970588235294117,0.9834614472768223
ENSG00000102024.17,3,"Hidradenitis Suppurativa, Psoriasis, Seborrheic Dermatitis",0.28795098706603134,0.9859070321135558
ENSG00000283486.2,3,"Alopecia Areata, Astigmatism, Patent Foramen Ovale",0.3894409937888199,0.9975304662183067
ENSG00000239653.1,3,"Celiac Disease, Conductive Hearing Loss Disorder, Psoriasis",0.3769230769230769,0.9492870520478577
ENSG00000147180.16,3,"Atrioventricular Septal Defect, Psoriasis, Ventricular Septal Defect",0.4690831556503199,0.9320902842033114
ENSG00000122025.14,3,"Alopecia Areata, Folliculitis, Hearing Loss Disorder",0.385,0.8380941727088759
ENSG00000211804.3,3,"Hearing Loss Disorder, Hidradenitis Suppurativa, Seborrheic Dermatitis",0.29333333333333333,0.9598277779219693
ENSG00000235192.1,3,"Atrial Septal Defect, Atrioventricular Septal Defect, Ventricular Septal Defect",0.6142857142857143,0.9440056447971039
ENSG00000205628.2,3,"Atrial Septal Defect, Patent Foramen Ovale, Reactive Airway Disease",0.3489326765188834,0.9490332053624421
ENSG00000010278.12,3,"Astigmatism, Hidradenitis Suppurativa, Seborrheic Dermatitis",0.33211678832116787,0.8150264325789022
ENSG00000135912.10,3,"Alopecia Areata, Atrioventricular Septal Defect, Scoliosis",0.31550068587105623,0.9132700849238087
ENSG00000205611.4,3,"Celiac Disease, Hidradenitis Suppurativa, Psoriasis",0.34710743801652894,0.8926891675341323
ENSG00000211797.2,3,"Hidradenitis Suppurativa, Psoriasis, Strabismus",0.38306292045904233,0.9561187407022315
ENSG00000169045.17,3,"Atrioventricular Septal Defect, Psoriasis, Ventricular Septal Defect",0.4359861591695502,0.9962410492715557
ENSG00000211765.1,3,"Obstructive Sleep Apnea Syndrome, Patent Ductus Arteriosus, Patent Foramen Ovale",0.44780219780219777,0.8923104447639437
ENSG00000034713.7,3,"Atrioventricular Septal Defect, Folliculitis, Hidradenitis Suppurativa",0.3107142857142857,0.9622138047669802
ENSG00000233765.1,3,"Astigmatism, Pneumonia, Pulmonary Hypertension",0.30320699708454807,0.9337050841965205
ENSG00000280374.1,3,"Alopecia Areata, Celiac Disease, Psoriasis",0.35726643598615915,0.9962987701890289
ENSG00000207561.1,3,"Atrial Septal Defect, Atrioventricular Septal Defect, Ventricular Septal Defect",0.5944412932501418,0.986045339164756
ENSG00000171425.9,3,"Astigmatism, Obstructive Sleep Apnea Syndrome, Pulmonary Hypertension",0.43662587412587417,0.9506984641873173
ENSG00000180628.14,2,"Atrioventricular Septal Defect, Ventricular Septal Defect",0.5338835212023618,0.9700997270896007
ENSG00000106066.14,2,"Atrioventricular Septal Defect, Ventricular Septal Defect",0.5319428691451376,0.9813979773032891
ENSG00000119397.16,2,"Atrioventricular Septal Defect, Ventricular Septal Defect",0.47035816035816036,0.9909741339133332
ENSG00000228590.1,2,"Celiac Disease, Hidradenitis Suppurativa",0.24838709677419357,0.9822683953342618
ENSG00000119686.9,2,"Hashimoto Thyroiditis, Strabismus",0.3269230769230769,0.8208375647334017
ENSG00000127585.11,2,"Hashimoto Thyroiditis, Hidradenitis Suppurativa",0.3725806451612903,0.9099395378662151
ENSG00000259848.8,2,"Atrioventricular Septal Defect, Ventricular Septal Defect",0.43910143910143906,0.9560744891825377
ENSG00000197993.7,2,"Hidradenitis Suppurativa, Psoriasis",0.39472743165924984,0.9859863286392155
ENSG00000160326.13,2,"Hidradenitis Suppurativa, Seborrheic Dermatitis",0.32055046589930314,0.9248888173244671
ENSG00000259956.1,2,"Hashimoto Thyroiditis, Celiac Disease",0.3162992226328533,0.9730874912005882
ENSG00000119013.8,2,"Hashimoto Thyroiditis, Celiac Disease",0.41344827586206895,0.9919916007667154
